N,max_abs_error,mean_abs_error,max_rel_error,position,passed
200,1664.0,132.361,9.204568779759522e-07,"(np.int64(175), np.int64(197))",True
400,36864.0,2097.006125,1.695478018833935e-06,"(np.int64(255), np.int64(395))",True
800,753664.0,41987.6528,2.2729031644380663e-06,"(np.int64(780), np.int64(771))",True
1200,4718592.0,255667.30404444443,2.4891674543844506e-06,"(np.int64(1070), np.int64(1135))",True
1600,18350080.0,927601.17985,2.2807583065217524e-06,"(np.int64(1588), np.int64(1552))",True
2000,48234496.0,2529631.840832,2.504548750551409e-06,"(np.int64(1904), np.int64(1941))",True
2400,125829120.0,5737079.340444445,3.2057563415737655e-06,"(np.int64(2330), np.int64(2121))",True
2800,192937984.0,11386790.50507755,3.4563594814958035e-06,"(np.int64(2649), np.int64(2691))",True
3200,360710144.0,20698726.1554,3.979709932925754e-06,"(np.int64(2918), np.int64(3181))",True
3600,738197504.0,33678779.445412345,4.004428007503408e-06,"(np.int64(3562), np.int64(3538))",True